23 120 306 219 365 160 178 226 286 196 4
93 225 219 150 119 171 160 177 67 335 4
23 344 130 291 321 160 123 15 8 20 4
23 155 336 311 297 333 120 35 292 22 4
210 311 264 334 189 300 51 23 100 29 4
334 339 213 206 156 4 2 2 2 2 2
139 323 300 62 23 300 240 23 300 296 4
350 139 339 315 219 305 108 152 298 139 4
23 307 168 15 139 211 187 300 165 226 4
343 109 311 322 227 360 226 225 24 29 4
127 369 5 43 262 219 27 4 2 2 2
154 167 102 90 314 4 2 2 2 2 2
300 243 319 110 4 2 2 2 2 2 2
343 28 132 311 149 120 18 23 158 227 4
334 340 12 311 246 300 146 23 300 197 4
160 22 99 351 300 212 298 67 134 167 4
352 74 167 136 311 32 4 2 2 2 2
23 157 343 66 311 185 324 311 335 105 4
139 272 5 72 252 355 239 219 47 231 4
169 5 284 299 5 184 44 136 311 117 4
23 205 251 167 189 200 10 50 300 288 4
49 144 300 304 298 310 340 39 223 149 4
23 29 227 360 34 311 63 139 142 325 4
139 245 59 23 45 139 317 104 123 300 4
139 245 59 23 45 139 317 104 123 300 4
23 155 19 176 277 128 298 15 75 173 4
23 305 167 154 343 255 149 312 4 2 2
93 225 219 150 119 171 160 177 67 335 4
49 183 301 23 183 15 219 365 155 138 4
23 316 222 343 116 298 332 355 164 69 4
168 339 95 50 362 13 362 23 83 13 4
300 243 319 110 4 2 2 2 2 2 2
169 5 284 299 5 184 44 136 311 117 4
361 139 138 33 6 311 79 307 300 204 4
168 339 95 4 2 2 2 2 2 2 2
139 337 311 125 168 119 49 139 323 300 4
139 339 5 111 23 345 331 298 282 311 4
23 205 251 167 189 200 10 50 300 288 4
277 273 84 311 293 193 107 181 145 198 4
214 120 298 191 87 155 180 149 26 41 4
139 320 325 4 2 2 2 2 2 2 2
349 135 313 4 2 2 2 2 2 2 2
23 120 306 219 365 160 178 226 286 196 4
23 316 222 343 116 298 332 355 164 69 4
139 320 325 4 2 2 2 2 2 2 2
155 180 298 120 190 219 365 312 167 300 4
209 343 117 228 359 154 139 361 138 77 4
49 334 179 298 157 139 339 249 330 71 4
23 307 168 15 139 211 187 300 165 226 4
343 109 311 322 227 360 226 225 24 29 4
23 307 168 15 139 211 187 300 165 226 4
139 37 298 5 194 70 137 22 218 311 4
343 109 311 322 227 360 226 225 24 29 4
100 160 150 94 58 334 78 259 300 295 4
305 85 334 263 57 124 357 5 248 346 4
49 343 17 255 23 60 300 174 298 334 4
139 339 121 302 258 307 360 338 23 68 4
300 243 82 64 4 2 2 2 2 2 2
299 354 300 151 217 195 258 298 277 190 4
23 155 336 311 297 333 120 35 292 22 4
176 29 300 212 81 137 274 277 137 300 4
23 157 343 66 311 185 324 311 335 105 4
49 343 17 255 23 60 300 174 298 334 4
139 245 59 23 45 139 317 104 123 300 4
23 344 130 291 321 160 123 15 8 20 4
299 354 300 285 139 271 120 175 287 283 4
361 139 287 220 300 235 298 343 326 4 2
23 155 336 311 297 333 120 35 292 22 4
343 28 132 311 149 120 18 23 158 227 4
127 369 5 43 262 219 27 4 2 2 2
150 97 163 7 227 360 155 56 159 54 4
23 157 343 66 311 185 324 311 335 105 4
160 22 99 351 300 212 298 67 134 167 4
140 260 355 150 38 40 216 341 300 288 4
139 337 311 125 168 119 49 139 323 300 4
350 139 339 315 219 305 108 152 298 139 4
297 365 102 4 2 2 2 2 2 2 2
350 139 339 315 219 305 108 152 298 139 4
23 205 251 167 189 200 10 50 300 288 4
334 257 298 139 339 53 300 118 86 311 4
154 167 102 90 314 4 2 2 2 2 2
277 168 192 138 268 162 298 139 339 207 4
140 260 355 150 38 40 216 341 300 288 4
23 350 100 5 83 23 5 133 13 150 4
350 334 247 120 300 294 150 46 30 349 4
297 365 102 4 2 2 2 2 2 2 2
23 157 343 66 311 185 324 311 335 105 4
140 260 355 150 38 40 216 341 300 288 4
29 5 48 334 280 76 153 126 187 356 4
23 350 100 5 83 23 5 133 13 150 4
49 343 17 255 23 60 300 174 298 334 4
139 339 106 7 15 300 288 298 5 147 4
334 339 213 206 156 4 2 2 2 2 2
23 299 354 139 188 23 327 15 219 365 4
154 167 102 90 314 4 2 2 2 2 2
343 109 311 322 227 360 226 225 24 29 4
139 320 325 4 2 2 2 2 2 2 2
23 155 336 311 297 333 120 35 292 22 4
23 205 251 167 189 200 10 50 300 288 4
277 168 192 138 268 162 298 139 339 207 4
