31 56 60 59 33 7 31 72 6 5
33 46 50 7 15 5 46 46 7 18
35 57 23 46 7 8 47 35 67 55
7 46 18 43 72 4 24 74 28 59
59 70 56 7 75 2 11 3 9 60
56 36 59 55 10 59 12 36 30 53
72 75 42 70 21 14 46 7 44 9
21 7 56 17 7 56 75 52 64 8
36 14 75 63 36 59 55 10 59 55
47 56 44 50 74 9 42 59 70 33
31 0 46 50 11 40 59 36 39 7
56 56 7 24 31 13 4 46 31 56
35 57 25 47 24 59 70 12 33 60
72 60 59 6 56 36 59 70 0 9
21 3 33 46 56 11 63 46 7 60
36 21 70 34 58 69 69 21 11 58
31 21 6 55 5 50 33 33 46 31
35 57 57 62 53 7 13 59 39 7
50 31 7 72 4 39 51 39 73 66
47 7 56 49 24 67 27 38 34 35
56 47 59 59 70 14 9 40 59 59
46 27 52 6 39 26 50 61 56 11
50 31 56 2 60 60 59 72 11 7
56 50 31 0 46 9 36 59 55 9
56 56 40 59 59 59 2 58 9 64
56 60 47 70 66 66 30 45 59 24
56 7 23 46 7 56 11 66 9 32
59 33 6 32 59 55 11 57 39 73
56 60 47 70 65 56 56 56 49 30
31 56 44 50 74 17 66 31 24 46
56 60 59 72 70 5 50 25 56 50
70 47 49 66 54 73 7 24 26 0
46 7 56 7 19 46 2 59 70 56
20 44 50 70 18 5 46 73 39 31
46 7 8 21 57 59 9 6 32 33
10 59 60 59 70 66 1 16 68 70
31 50 56 0 35 58 40 23 49 16
31 21 70 69 70 12 59 36 59 42
56 40 71 7 59 39 49 66 31 56
47 69 59 39 32 54 72 59 25 9
14 36 59 1 9 72 70 9 39 25
52 6 21 5 74 46 7 19 47 50
31 10 7 56 46 24 60 59 55 7
9 59 37 70 0 71 47 15 17 17
56 7 5 46 44 31 60 59 35 54
36 14 46 7 56 7 56 11 7 59
31 33 59 72 7 35 39 44 25 47
56 7 24 50 33 10 59 72 59 55
36 1 75 11 5 49 70 47 25 65
36 47 9 18 36 72 1 46 31 67
31 35 44 39 39 39 44 50 25 46
18 36 56 71 47 53 69 9 64 24
56 7 39 59 6 56 56 7 38 59
37 11 9 18 19 65 56 56 11 38
36 59 55 21 5 50 56 50 9 29
35 39 57 39 57 39 59 38 46 27
19 10 7 56 11 46 7 70 68 50
36 59 2 33 16 75 39 31 66 56
46 7 40 49 52 6 33 70 17 17
36 44 37 56 47 43 17 7 56 58
56 56 49 3 49 41 61 59 61 70
36 72 42 55 64 40 50 68 50 7
56 71 44 62 31 60 59 72 59 67
56 11 12 11 10 13 59 2 39 23
56 40 7 56 7 56 24 59 55 59
46 7 56 7 56 5 7 46 7 56
56 36 2 33 46 53 70 70 12 17
59 21 7 56 27 38 46 7 56 49
31 0 56 43 59 55 27 69 59 46
33 46 7 46 50 56 5 57 39 59
31 26 50 48 60 59 6 56 36 59
36 21 8 59 3 33 46 46 7 46
62 0 50 31 68 22 25 46 46 72
21 70 46 7 24 67 59 9 6 31
56 7 24 36 0 70 11 38 46 7
19 50 31 39 69 7 44 50 56 17
27 38 59 33 47 50 31 7 56 75
47 46 50 65 56 24 57 62 57 39
56 56 49 38 39 23 49 9 18 6
31 3 23 70 66 47 0 70 62 17
33 7 31 7 5 46 0 70 47 50
50 31 56 60 36 46 9 64 49 24
45 28 59 36 55 5 50 31 40 39
46 7 56 59 25 60 59 55 43 53
