10 59 49 2 65 9 59 2 50 0
36 56 46 38 72 59 7 38 5 57
62 55 50 53 73 5 68 49 49 19
21 72 60 46 59 9 70 9 56 60
59 50 45 6 72 37 50 54 6 1
56 59 66 59 7 9 3 0 56 9
48 49 70 71 66 22 12 43 44 68
56 59 62 60 57 68 59 59 68 5
56 56 7 59 33 56 25 60 36 31
36 35 59 22 56 72 33 41 55 50
31 46 59 15 24 59 10 21 23 0
35 1 36 31 7 23 50 67 42 0
36 7 43 59 57 39 33 44 58 9
56 55 71 24 6 69 65 75 66 49
56 59 46 38 40 46 2 70 23 31
36 59 31 71 60 72 60 59 6 0
31 7 28 56 21 73 3 27 69 40
72 46 75 62 66 5 72 31 39 43
59 52 56 54 50 56 27 24 74 59
31 31 33 72 16 50 7 7 7 70
56 56 56 36 33 59 46 66 9 49
36 56 61 7 3 7 75 53 11 0
56 7 36 59 7 9 15 40 9 64
46 33 12 53 62 49 46 60 59 38
44 59 15 9 33 50 32 59 7 33
59 26 73 19 50 51 57 11 50 56
60 36 59 61 57 55 47 40 46 1
56 56 70 43 60 7 33 67 56 0
36 27 10 7 59 39 56 12 9 40
28 52 47 49 46 50 70 74 2 6
56 27 14 31 34 68 60 36 33 59
11 59 24 31 3 9 59 5 46 59
55 59 52 50 21 18 46 67 46 0
21 56 60 68 60 56 7 59 44 32
45 6 72 7 33 10 46 72 69 35
59 11 47 70 4 3 18 56 70 60
56 56 23 19 39 19 71 24 2 0
56 21 55 70 38 56 58 66 17 31
36 36 36 31 12 5 59 9 49 21
36 5 39 24 72 55 7 6 50 46
56 24 55 19 23 36 36 56 17 59
24 57 1 70 7 59 5 7 33 72
7 56 53 66 23 66 5 59 13 36
5 56 17 70 7 44 31 57 6 59
0 36 46 70 72 5 7 49 72 72
30 59 47 27 53 64 62 0 59 66
59 11 49 56 12 70 0 42 31 60
72 18 56 56 60 50 59 39 59 0
24 46 46 50 72 7 49 39 59 46
36 49 70 44 59 70 73 56 28 60
46 31 55 13 59 39 33 49 9 59
47 7 36 7 59 25 24 18 72 38
36 36 56 21 66 56 75 7 59 9
68 53 46 60 43 70 35 33 58 1
56 25 6 16 39 47 47 72 65 68
9 17 14 50 36 42 32 72 70 0
47 27 42 67 10 60 41 36 59 64
44 27 56 1 9 39 46 35 66 0
56 72 21 48 68 7 68 27 11 0
56 53 39 52 70 69 0 50 72 39
56 17 5 33 7 25 33 67 11 70
56 31 67 70 53 38 39 35 56 0
40 38 56 7 9 12 7 46 56 0
27 35 5 56 72 5 46 31 55 49
56 72 59 14 62 72 56 70 67 56
14 49 55 72 33 72 59 11 67 59
46 10 70 58 6 5 59 13 75 35
56 36 0 7 46 35 2 12 59 70
21 50 21 33 60 59 7 67 8 49
56 40 59 60 17 70 60 31 6 72
36 56 50 68 50 59 43 31 0 56
56 24 7 35 70 9 46 9 72 49
11 20 52 56 1 63 50 53 2 0
9 1 59 59 73 46 59 14 60 59
59 31 44 59 72 43 50 46 46 21
46 56 31 59 59 24 72 47 35 24
1 9 60 59 9 7 59 38 59 0
14 50 31 6 67 46 33 56 44 11
56 7 75 33 7 56 59 35 70 56
46 65 7 38 30 3 23 70 12 14
36 24 7 5 21 0 59 47 7 59
59 8 56 72 59 21 23 71 59 19
25 68 4 25 66 68 57 31 57 59
56 36 50 45 10 72 37 46 32 0
60 21 69 75 31 46 54 39 31 44
31 50 60 36 31 7 70 41 32 0
56 50 31 46 70 9 23 50 59 70
0 31 17 31 59 59 7 31 59 6
31 31 44 19 70 7 30 56 56 17
46 7 21 60 31 64 31 66 7 56
56 0 31 21 70 21 58 68 56 59
62 59 58 50 70 55 55 32 46 56
31 42 18 46 9 60 25 70 8 0
59 9 40 46 7 56 49 40 56 0
44 36 70 72 7 31 57 6 70 1
56 43 59 24 47 60 50 25 46 23
56 67 56 59 21 69 50 72 56 50
56 47 56 9 72 22 55 48 7 27
50 70 49 71 60 7 72 31 59 35
59 24 70 64 6 17 59 59 18 36
36 49 56 31 7 50 70 39 25 0
56 28 49 36 56 17 59 67 7 36
56 31 60 24 68 59 50 24 2 0
56 47 36 59 5 14 17 56 59 70
56 75 50 59 17 21 9 31 44 11
36 62 6 40 43 7 46 21 50 50
36 52 60 46 59 50 50 9 2 0
31 72 59 59 67 24 69 65 35 47
6 28 33 59 60 62 21 9 50 46
39 72 56 9 46 46 69 58 50 70
52 56 21 70 50 46 7 18 7 56
75 1 36 56 48 9 63 9 46 0
59 14 64 47 59 24 53 70 30 33
6 5 60 7 56 59 9 43 24 68
56 40 59 40 36 59 18 45 46 55
70 55 58 2 7 70 0 7 56 9
56 56 46 49 55 9 7 36 5 59
46 46 7 59 1 43 58 27 43 68
39 35 43 9 59 52 55 39 69 0
59 21 60 59 44 46 6 9 43 0
52 56 56 70 70 12 70 68 36 0
57 68 31 36 70 58 15 43 11 55
56 56 50 58 7 6 7 72 56 58
62 57 35 31 33 31 55 7 46 0
51 59 2 7 55 18 40 31 64 14
31 70 28 42 5 50 70 30 5 25
31 41 33 56 41 59 55 46 59 59
2 50 21 24 60 9 45 11 61 0
56 66 12 68 47 35 7 43 7 59
6 75 3 47 9 59 14 11 34 12
56 3 60 59 60 56 59 9 56 70
72 56 70 72 70 9 21 59 59 27
46 49 5 59 10 56 68 50 59 0
36 35 55 59 39 35 59 7 33 59
59 36 18 59 59 68 21 70 66 21
35 9 7 60 49 74 59 11 7 9
28 46 35 61 59 73 72 57 45 68
31 59 36 60 56 31 56 59 0 58
59 9 39 59 24 68 36 59 0 55
56 31 39 59 19 56 56 59 2 46
27 14 18 7 46 44 24 67 72 21
56 59 56 7 70 46 21 0 59 40
49 62 35 59 59 19 11 51 50 0
56 33 59 15 67 72 56 55 64 66
56 55 72 74 49 53 16 39 46 59
56 49 0 35 50 70 43 5 60 56
36 44 7 59 33 46 68 13 56 59
9 56 57 7 47 44 24 11 5 0
35 26 49 36 36 54 44 9 56 7
28 59 33 67 38 68 59 33 59 0
50 54 55 56 31 6 21 55 12 55
59 66 54 32 7 7 40 70 59 9
56 30 53 10 59 40 70 70 67 46
36 72 59 49 60 7 52 39 25 60
19 11 75 66 69 56 24 59 71 17
75 46 46 24 7 35 56 49 50 59
36 56 24 57 17 14 43 2 70 11
0 56 27 59 55 59 50 72 42 73
56 38 56 49 50 54 71 4 55 0
36 59 14 21 1 49 9 24 66 65
19 51 7 59 64 70 49 7 31 7
19 44 72 21 60 40 44 72 21 12
24 36 56 7 7 46 66 6 31 56
31 59 22 27 70 7 39 27 17 24
56 50 73 59 9 59 72 53 23 0
36 4 25 64 24 72 17 72 50 56
33 46 36 59 52 60 59 44 36 50
36 36 21 39 32 19 24 36 7 46
3 10 23 70 50 60 59 0 49 23
56 56 59 71 7 57 72 23 57 0
36 12 40 7 7 46 70 7 9 0
56 22 48 47 24 66 39 60 36 59
59 7 70 1 59 24 39 9 59 43
56 68 42 28 75 55 59 39 17 43
46 9 55 70 7 21 25 48 68 39
0 56 39 18 59 25 9 4 3 51
3 9 39 7 60 31 9 6 17 30
59 63 56 59 35 72 24 50 59 17
46 56 56 20 59 48 71 36 59 66
42 62 56 46 36 70 52 70 14 59
7 56 12 59 69 24 74 23 42 47
31 7 50 11 47 8 59 25 9 46
7 50 38 7 60 24 56 24 42 51
7 7 25 58 75 5 70 4 23 0
70 21 67 37 5 53 1 7 73 0
36 9 44 34 35 32 56 29 33 53
59 39 49 56 35 33 35 70 55 59
36 31 59 72 70 21 66 7 32 0
59 11 72 43 12 72 39 39 9 0
56 44 50 8 28 39 59 7 70 21
56 72 20 36 59 49 33 29 39 59
19 46 53 62 65 59 7 59 4 66
35 27 46 73 50 71 59 7 9 0
59 50 62 18 33 11 39 70 9 47
36 56 33 24 46 21 0 9 46 0
24 56 36 35 29 72 54 67 24 59
50 56 60 31 27 46 60 31 68 19
56 70 36 11 23 19 7 47 21 7
23 26 3 7 56 52 56 9 55 75
56 59 72 31 59 69 60 56 23 0
36 60 40 59 70 9 39 21 66 0
56 68 38 52 1 59 49 37 2 9
36 5 33 58 39 59 46 46 33 0
36 44 65 59 33 7 59 9 9 59
33 9 73 48 24 62 59 35 59 49
56 44 11 37 60 59 21 5 9 46
31 59 49 27 1 56 39 39 46 59
33 70 1 46 1 31 64 70 45 60
59 36 56 14 7 46 69 13 50 56
21 28 72 67 50 7 56 61 72 36
31 31 55 70 59 66 59 59 9 7
45 7 56 5 49 46 6 68 59 19
56 56 64 69 9 46 60 56 59 0
45 40 7 67 24 43 44 58 56 59
35 9 55 7 28 64 64 11 9 46
46 56 46 59 47 47 67 36 59 59
42 46 56 52 39 7 59 55 5 57
56 59 40 59 70 25 37 9 59 57
59 23 12 70 51 21 7 21 39 33
56 56 75 70 39 47 59 50 56 0
36 56 35 32 50 67 9 72 23 71
46 59 20 56 72 49 39 59 9 59
36 56 46 55 36 59 9 68 31 39
21 29 35 50 56 28 59 53 12 49
31 57 7 7 25 74 39 50 12 1
49 37 68 60 36 7 36 24 59 73
56 56 43 72 59 47 70 6 39 14
31 55 46 59 47 59 46 68 18 7
35 72 6 6 16 47 50 46 1 0
45 56 7 72 50 59 55 72 46 59
47 36 31 47 59 70 23 52 59 0
56 7 56 39 24 56 59 59 39 56
56 17 73 59 12 16 70 54 39 59
47 7 7 68 19 44 39 33 31 7
50 56 27 56 72 21 46 2 21 69
31 46 7 46 55 54 69 9 56 0
70 57 50 60 56 8 59 50 38 0
36 36 56 31 59 57 46 70 59 70
36 7 31 66 60 55 7 50 8 70
31 14 7 46 56 7 59 72 36 0
56 64 70 50 39 55 59 15 49 58
21 6 70 65 60 7 72 21 24 73
36 31 55 7 59 9 17 72 7 0
73 2 59 49 33 72 23 33 50 46
56 72 6 7 46 56 59 24 70 18
56 46 56 17 12 7 33 46 65 6
36 65 65 72 59 39 7 55 55 59
31 21 72 59 40 10 72 49 58 7
50 72 10 56 27 25 55 59 60 72
50 57 7 59 70 59 49 12 55 50
31 62 49 36 72 46 11 17 56 40
2 15 17 59 46 50 33 43 59 59
36 66 39 46 43 57 7 7 36 56
5 56 73 40 46 60 6 75 70 35
56 46 35 47 28 43 29 56 37 68
21 35 55 7 59 70 39 62 24 0
56 7 59 6 54 9 36 31 60 56
21 35 67 62 60 11 35 27 59 0
56 40 16 64 1 33 55 51 23 55
50 28 43 71 10 46 7 60 36 9
36 46 7 75 10 56 9 70 9 17
56 50 39 39 11 39 36 7 24 9
56 7 7 47 6 35 7 56 0 24
56 39 7 7 39 72 58 55 11 55
43 0 56 24 47 49 9 59 56 25
50 60 70 24 7 0 50 55 59 0
0 56 65 7 56 47 55 46 40 47
35 56 6 18 56 7 46 0 33 70
67 32 7 56 59 7 31 7 70 0
21 44 59 49 29 32 31 0 56 57
56 10 59 7 56 23 31 37 59 43
56 55 3 37 75 18 27 47 44 49
59 55 5 7 36 59 12 6 71 47
50 50 56 42 33 59 33 35 31 27
31 66 60 9 56 9 15 72 63 72
5 56 49 46 70 55 56 5 43 63
56 11 50 59 59 59 12 59 32 23
